      Years Drainage_1    Drainage_ 2    Drainage_ 3    Drainage_ 4    Drainage_ 6    Drainage_ 7    Drainage_ 9    Drainage_ 11   Drainage_ 13   Drainage_ 15   Drainage_ 16   Drainage_ 17   Drainage_ 19   Drainage_ 21   Drainage_ 23   Drainage_ 25   Drainage_ 26   Drainage_ 27   Drainage_ 29   Drainage_ 31   Drainage_ 33   Drainage_ 36   Drainage_ 38   Drainage_ 39   Drainage_ 41   Drainage_ 42   Drainage_ 44   Drainage_ 45   Drainage_ 46   Drainage_ 48   Drainage_ 49   Drainage_ 51   Drainage_ 52   Drainage_ 54   Drainage_ 56   Drainage_ 57   Drainage_ 59   Drainage_ 61   Drainage_ 63   Drainage_ 64   Drainage_ 66   Drainage_ 67   Drainage_ 69   Drainage_ 71   Drainage_ 73   Drainage_ 75   
1977 09 30 537.92069      548.25134      532.21030      657.35192      485.03252      592.41511      675.99103      635.48812      655.61642      616.06778      645.68158      436.04768      620.54557      494.44989      599.33833      744.61743      629.38060      471.06172      484.01899      805.37091      681.16088      696.19165      599.09591      658.44172      706.30810      651.09689      488.39929      529.30988      422.82883      728.50182      635.86570      520.82491      389.85741      691.58937      582.06514      570.53092      631.65339      637.36747      638.84852      615.08362      614.24572      530.55910      593.23473      647.60247      642.13500      416.47261      
1978 09 30 550.31261      568.02868      568.63032      705.40598      527.95893      638.81626      721.59383      667.42704      664.53248      621.64347      654.03473      448.36267      666.56813      553.39732      603.29220      756.75147      644.21265      498.60515      498.03390      887.56553      767.85016      771.38475      648.38347      706.91697      823.20091      713.74169      532.61533      549.27563      431.74169      769.34665      693.51582      537.90815      407.15855      716.15075      595.58995      597.78190      661.63223      665.86943      676.18014      641.28387      630.35698      553.01158      601.91249      655.06460      650.12043      437.21120      
1979 09 30 535.40872      529.70306      514.48496      653.91482      468.67570      579.37234      668.90861      629.68787      663.58643      612.12485      646.47688      425.48531      593.12560      471.99442      602.12919      758.02584      633.46533      458.78147      477.53512      771.93842      627.77930      672.78095      562.52533      639.74748      649.58123      629.47669      435.54744      517.26141      420.33005      717.11589      593.43642      500.89690      363.48652      702.48585      563.10196      535.84679      604.40749      642.83756      642.26587      621.94738      606.21693      523.61264      602.61549      655.65760      651.70898      399.98960      
1980 09 30 507.70438      528.55412      533.50470      631.50381      491.45037      582.55440      649.58460      616.03201      610.51460      579.70930      601.42460      425.11635      627.77602      546.16041      554.61236      699.77408      600.90768      481.94811      479.58532      803.48038      705.34058      701.84463      608.33601      650.78281      749.78856      659.80026      533.08633      504.19280      395.10311      697.44240      643.44341      518.13537      427.78045      652.53848      563.59528      566.02003      615.81749      604.23431      612.21683      588.13289      573.33583      511.14769      547.56673      600.02575      592.52948      415.23150      
1981 09 30 511.30831      553.40677      547.21009      657.19500      508.67689      605.46741      675.83703      625.45031      614.35244      580.54194      607.66903      423.29387      641.79774      540.87345      556.83996      705.01142      601.37835      481.08995      472.69487      882.01562      752.92935      770.20103      647.28117      698.73468      852.16016      700.89552      535.09899      511.93070      396.98885      739.05496      702.85089      519.54802      407.87818      660.70282      569.51491      588.89814      646.00166      614.55774      627.26933      595.72029      591.16210      517.43694      554.71646      604.39703      596.95564      418.86369      
1982 09 30 504.62473      508.75371      500.17635      628.01844      456.83362      562.93457      645.71773      605.97501      619.63432      569.43877      594.72094      399.01825      564.68811      462.52943      555.45907      714.67461      600.18413      445.18668      456.38512      763.15177      630.16702      664.27730      553.22242      624.12893      672.29283      611.80833      435.90172      476.41200      381.92188      686.81481      589.92268      474.80741      359.04870      665.69160      541.25377      528.33418      587.74405      611.03768      610.47157      590.86429      574.89601      502.13583      566.39041      615.32448      612.04826      391.95820      
1983 09 30 534.23805      565.29551      556.29562      671.60343      512.61970      616.15554      693.76885      648.75133      643.44334      612.76132      640.07604      448.34156      675.20267      552.02398      582.89305      742.49571      630.32860      495.33463      494.97398      881.79250      767.72581      761.37441      657.74196      698.63043      823.36851      711.83950      556.00096      539.81511      421.46632      755.66716      697.37430      543.77135      428.56410      689.01584      603.55345      606.37109      664.31410      638.12195      645.70275      616.90691      611.27140      537.33568      576.40455      632.15075      624.39381      435.66366      
1984 09 30 508.46224      535.75646      533.29378      649.86034      490.14565      592.64289      668.85208      619.12270      626.34696      588.50833      620.32717      425.91269      636.75064      537.47278      567.09600      715.08790      608.97275      475.47256      476.50398      859.65664      738.54663      749.06813      624.73101      682.06654      809.04602      685.52914      516.42996      516.84613      402.89636      733.29968      669.67969      518.07876      401.98953      666.89609      565.75955      571.23055      629.97935      616.29033      623.29822      596.01587      586.03708      509.60448      559.67704      614.82782      602.16153      407.86991      
1985 09 30 517.19587      512.47203      479.70360      626.20442      436.72454      551.69033      643.93564      601.35835      637.83452      591.45247      625.32232      397.36004      543.89186      420.60549      579.32729      733.48566      606.70902      424.86972      451.12715      740.68868      594.16337      647.33034      537.33243      618.79960      631.51971      592.08844      401.25873      472.67478      378.36840      689.11296      567.46908      471.29783      325.52182      683.35609      543.00272      521.77914      583.26514      625.02023      620.69160      605.41515      590.73879      494.28598      593.02427      635.58315      630.22904      365.33394      
1986 09 30 503.11839      522.20314      508.23941      633.56940      465.52871      567.81230      649.50104      601.97995      606.75024      564.37669      595.48539      397.03111      577.06077      464.18046      546.69699      701.57451      587.07002      438.64485      445.86270      795.64011      657.26282      690.15502      576.12795      640.00870      728.50340      626.83244      450.12610      481.26621      382.27016      697.43066      621.77250      477.78583      354.49577      655.97080      540.03393      539.58608      600.05598      610.19630      609.28087      583.41730      581.52633      499.62646      560.95166      602.59375      598.68030      391.25138      
