      Years Drainage_1    Drainage_ 2    Drainage_ 3    Drainage_ 4    Drainage_ 6    Drainage_ 7    Drainage_ 9    Drainage_ 11   Drainage_ 13   Drainage_ 15   Drainage_ 16   Drainage_ 17   Drainage_ 19   Drainage_ 21   Drainage_ 23   Drainage_ 25   Drainage_ 26   Drainage_ 27   Drainage_ 29   Drainage_ 31   Drainage_ 33   Drainage_ 36   Drainage_ 38   Drainage_ 39   Drainage_ 41   Drainage_ 42   Drainage_ 44   Drainage_ 45   Drainage_ 46   Drainage_ 48   Drainage_ 49   Drainage_ 51   Drainage_ 52   Drainage_ 54   Drainage_ 56   Drainage_ 57   Drainage_ 59   Drainage_ 61   Drainage_ 63   Drainage_ 64   Drainage_ 66   Drainage_ 67   Drainage_ 69   Drainage_ 71   Drainage_ 73   Drainage_ 75   
1976 09 30 174244.04295   44727.91434    13327.01473    850.22248      2812.79769     0.0000000e+00  0.0000000e+00  196379.30203   239464.16586   27981.85118    9457.50783     32026.16414    0.0000000e+00  0.0000000e+00  60392.55101    10131.95424    104004.96377   4238.90163     1708.78295     11262.91803    1421.73104     253677.21795   233222.54761   667505.18997   3781.33795     6439.30968     0.0000000e+00  0.0000000e+00  0.0000000e+00  10398.64657    53874.54678    18212.31482    45.55691       44420.52587    229529.28316   443543.68884   100412.57001   105866.66465   17606.09218    94391.65810    687410.15576   80037.20065    110935.12537   268008.61362   65403.14904    8747.13491     
1977 09 30 103797.07004   29729.10397    7172.16656     483.47117      2063.34538     0.0000000e+00  0.0000000e+00  95509.21301    133116.47962   15794.04066    5379.65540     29839.71582    0.0000000e+00  0.0000000e+00  33645.96611    5785.41814     59785.45167    2541.85310     1282.17789     3901.23719     460.21681      166205.03768   142507.89197   475556.26704   1018.13529     4585.18295     0.0000000e+00  0.0000000e+00  0.0000000e+00  6630.66543     27986.65637    12832.87378    45.25203       27722.35812    116787.92698   273045.71179   43779.60852    68648.59137    10739.87171    63801.59809    352387.06583   48612.85272    79671.36088    169466.96937   44314.15347    6980.06189     
1978 09 30 138531.89629   39242.76164    9487.73938     622.65090      2267.34311     0.0000000e+00  0.0000000e+00  136817.02813   202932.25766   23023.14453    7445.17989     34857.50013    0.0000000e+00  0.0000000e+00  57948.21495    7955.22051     87169.57280    3936.53724     2013.32621     6140.57386     883.88973      196423.95984   196012.73330   560944.39733   1922.64257     5628.00200     0.0000000e+00  0.0000000e+00  0.0000000e+00  8866.46338     38085.37930    17253.69306    57.91704       37971.82748    153214.93166   369498.40033   65404.63247    82616.59826    17437.60650    90421.07574    473217.07623   68461.19744    100224.22196   232325.32329   61450.67238    8265.93569     
1979 09 30 97258.97874    27834.25260    6659.36411     567.77147      2212.94485     0.0000000e+00  0.0000000e+00  115979.00773   166769.99170   17567.76895    5313.65555     27747.27459    0.0000000e+00  0.0000000e+00  40201.71399    6335.33587     67087.90071    2969.65424     1209.19923     4051.93578     538.33305      165236.54619   147705.34131   455594.87821   1491.57208     4956.45368     0.0000000e+00  0.0000000e+00  0.0000000e+00  6480.99036     28435.42245    13493.08595    44.08448       31354.51726    129900.23426   274256.69758   57346.83172    68948.03809    11775.12551    72983.76792    348159.38203   45848.97109    77084.93326    193617.93058   43543.34772    5392.44933     
1980 09 30 118986.27140   32409.14187    8019.49126     675.70050      2209.72449     0.0000000e+00  0.0000000e+00  142063.45135   192029.22241   19642.89839    6285.46407     27879.71665    0.0000000e+00  0.0000000e+00  41389.95850    7788.92777     84794.81186    3428.74628     1329.82429     5565.77870     731.30057      193613.77947   165078.44374   520926.16832   1669.35666     5243.10590     0.0000000e+00  0.0000000e+00  0.0000000e+00  7678.07733     31535.26039    14137.29919    46.28775       36917.95530    154761.51142   298426.12247   56228.39422    79865.48294    14724.74904    80724.18482    432391.58051   62982.83042    89567.17571    220494.99922   54158.77926    7749.00096     
1981 09 30 159954.89403   45486.16907    11627.81748    874.62038      2590.34608     0.0000000e+00  0.0000000e+00  180326.75407   240321.05053   24511.24774    8373.53236     35130.98196    0.0000000e+00  0.0000000e+00  58088.40251    8822.06612     102608.31190   3978.50448     1819.02905     7848.03472     1017.62391     225373.62542   223914.23734   605779.59530   2574.94247     6350.51558     0.0000000e+00  0.0000000e+00  0.0000000e+00  10157.16254    46693.49494    18861.07719    43.91403       40347.69306    204205.91898   427310.21542   81358.47157    98963.33932    16842.12692    97663.25728    571619.10044   75161.97267    117670.21791   309356.44475   70834.28229    9710.65929     
1982 09 30 154015.37432   46866.77423    12690.41820    942.88845      3098.47886     0.0000000e+00  0.0000000e+00  209470.39699   262359.29512   27527.17958    8534.88220     29501.24250    0.0000000e+00  0.0000000e+00  67559.03834    12189.06670    113119.35758   4998.88352     2180.56791     10996.48201    1386.38908     229142.11912   203339.63638   601722.29534   3696.86443     5995.43124     0.0000000e+00  0.0000000e+00  0.0000000e+00  9423.22350     45207.94247    17792.33070    46.94112       49659.63196    226302.74431   378868.16078   103737.07462   114667.06379   20936.83467    110960.71030   674703.07161   87194.72546    130008.77506   302839.42202   74750.00801    10034.51450    
1983 09 30 138040.39549   47420.42389    13877.55392    994.39469      3467.26418     0.0000000e+00  0.0000000e+00  206735.35034   259102.04676   24678.49786    7196.90720     34342.81573    0.0000000e+00  0.0000000e+00  63582.64025    10866.53881    119061.97484   5171.66694     2140.29268     10187.41004    1419.89218     204324.38494   181477.27910   545099.08828   3191.05465     5490.65376     0.0000000e+00  0.0000000e+00  0.0000000e+00  8654.25845     38604.76851    21983.96951    56.29930       50307.89793    238722.77443   333036.39270   101902.19693   117970.30024   21603.97489    108823.22886   554596.11907   96490.10299    129718.40636   297862.07513   76768.84553    12450.70583    
1984 09 30 157628.17362   44258.07630    14397.22890    1014.95178     3301.57941     0.0000000e+00  0.0000000e+00  196990.35461   265819.65550   25704.33230    8395.98805     34884.36123    0.0000000e+00  0.0000000e+00  61304.39880    10547.34594    112593.76218   5357.60833     2157.82513     8745.81451     1122.91680     241209.99555   232302.47255   636401.01127   3013.54089     6423.39203     0.0000000e+00  0.0000000e+00  0.0000000e+00  10484.42082    47773.92383    24018.57525    60.60603       48623.89559    234334.17112   431973.26827   94559.13792    103293.16434   21208.09375    104755.58180   568562.94102   91920.57592    122784.26784   302598.29306   79010.89184    9733.63302     
1985 09 30 118028.82586   34112.89525    8850.29264     821.57252      2979.51289     0.0000000e+00  0.0000000e+00  176881.55813   201590.63171   20616.97693    6428.35796     28439.77797    0.0000000e+00  0.0000000e+00  47888.93952    9533.81710     97875.47314    4040.44606     1838.57930     5607.59216     752.78710      181984.31420   169108.86676   486703.86086   1961.76450     5341.61230     0.0000000e+00  0.0000000e+00  0.0000000e+00  7757.96472     35192.04907    21217.72941    57.43790       37188.94953    182769.66610   311835.05782   67567.83019    83233.43130    16978.56456    79199.40616    426519.98696   69111.65704    101364.38692   247412.42704   64396.09292    9067.72976     
